transaction_id,date,category,amount,month,day_of_week,type
1,1/1/2024,Rent,1450,2024-01,Monday,Expense
2,1/1/2024,Utilities,136.54,2024-01,Monday,Expense
751,1/1/2024,Income,2600,2024-01,Monday,Income
14,1/1/2024,Dining Out,25.56,2024-01,Monday,Expense
3,1/3/2024,Subscriptions,48.24,2024-01,Wednesday,Expense
11,1/3/2024,Dining Out,28.58,2024-01,Wednesday,Expense
8,1/4/2024,Groceries,46.52,2024-01,Thursday,Expense
28,1/4/2024,Travel,368.72,2024-01,Thursday,Expense
6,1/5/2024,Groceries,54.5,2024-01,Friday,Expense
24,1/5/2024,Shopping,84.54,2024-01,Friday,Expense
25,1/7/2024,Shopping,61.85,2024-01,Sunday,Expense
12,1/7/2024,Dining Out,24.45,2024-01,Sunday,Expense
4,1/8/2024,Groceries,95.46,2024-01,Monday,Expense
5,1/8/2024,Groceries,53.38,2024-01,Monday,Expense
13,1/8/2024,Dining Out,5,2024-01,Monday,Expense
23,1/9/2024,Shopping,70.57,2024-01,Tuesday,Expense
19,1/9/2024,Transportation,54.21,2024-01,Tuesday,Expense
27,1/11/2024,Health/Fitness,40.97,2024-01,Thursday,Expense
752,1/15/2024,Income,2600,2024-01,Monday,Income
17,1/15/2024,Transportation,45.91,2024-01,Monday,Expense
16,1/18/2024,Dining Out,73.39,2024-01,Thursday,Expense
18,1/19/2024,Transportation,31,2024-01,Friday,Expense
9,1/22/2024,Groceries,12.75,2024-01,Monday,Expense
22,1/23/2024,Entertainment,25.41,2024-01,Tuesday,Expense
15,1/23/2024,Dining Out,43.97,2024-01,Tuesday,Expense
10,1/24/2024,Dining Out,49.26,2024-01,Wednesday,Expense
7,1/24/2024,Groceries,53.57,2024-01,Wednesday,Expense
26,1/25/2024,Shopping,50.37,2024-01,Thursday,Expense
21,1/25/2024,Entertainment,29.89,2024-01,Thursday,Expense
20,1/26/2024,Entertainment,19.33,2024-01,Friday,Expense
753,1/29/2024,Income,2600,2024-01,Monday,Income
31,2/1/2024,Subscriptions,43.07,2024-02,Thursday,Expense
29,2/1/2024,Rent,1450,2024-02,Thursday,Expense
48,2/3/2024,Entertainment,53.16,2024-02,Saturday,Expense
30,2/4/2024,Utilities,148.1,2024-02,Sunday,Expense
52,2/4/2024,Shopping,5,2024-02,Sunday,Expense
46,2/7/2024,Transportation,10.19,2024-02,Wednesday,Expense
50,2/8/2024,Shopping,41.89,2024-02,Thursday,Expense
54,2/9/2024,Shopping,65.44,2024-02,Friday,Expense
36,2/9/2024,Dining Out,12.38,2024-02,Friday,Expense
47,2/10/2024,Entertainment,40.03,2024-02,Saturday,Expense
39,2/10/2024,Transportation,39.46,2024-02,Saturday,Expense
44,2/12/2024,Transportation,35.51,2024-02,Monday,Expense
32,2/12/2024,Groceries,76.64,2024-02,Monday,Expense
34,2/12/2024,Groceries,82.89,2024-02,Monday,Expense
754,2/12/2024,Income,2600,2024-02,Monday,Income
53,2/13/2024,Shopping,66.84,2024-02,Tuesday,Expense
38,2/15/2024,Dining Out,32.33,2024-02,Thursday,Expense
45,2/19/2024,Transportation,41.38,2024-02,Monday,Expense
42,2/20/2024,Transportation,52.33,2024-02,Tuesday,Expense
35,2/20/2024,Groceries,80.1,2024-02,Tuesday,Expense
41,2/21/2024,Transportation,5,2024-02,Wednesday,Expense
37,2/24/2024,Dining Out,51.49,2024-02,Saturday,Expense
755,2/26/2024,Income,2600,2024-02,Monday,Income
40,2/27/2024,Transportation,63.47,2024-02,Tuesday,Expense
33,2/28/2024,Groceries,82.75,2024-02,Wednesday,Expense
43,2/28/2024,Transportation,41.31,2024-02,Wednesday,Expense
49,2/28/2024,Shopping,26.92,2024-02,Wednesday,Expense
51,2/28/2024,Shopping,39.32,2024-02,Wednesday,Expense
57,3/2/2024,Subscriptions,43.29,2024-03,Saturday,Expense
