Date,AAPL,JNJ,JPM,MSFT,SPY,TSLA,XOM
1/3/2020,-0.009722342,-0.011577896,-0.013196417,-0.012451984,-0.007572062,0.029633258,-0.008039341
1/6/2020,0.00796835,-0.001247541,-0.000795181,0.002585077,0.003814762,0.019254637,0.00767815
1/7/2020,-0.004703082,0.006106692,-0.01700053,-0.009117722,-0.002811819,0.038800525,-0.008183943
1/8/2020,0.016086189,-0.000137582,0.007801076,0.015928228,0.005329729,0.049204826,-0.015080232
1/9/2020,0.021241112,0.002965863,0.003651134,0.012493007,0.006780698,-0.021945012,0.007655379
1/10/2020,0.00226031,-0.002269739,-0.009968152,-0.004627059,-0.002877744,-0.006627298,-0.008887587
1/13/2020,0.0213648,0.004412109,0.008304881,0.012024226,0.006877199,0.097688959,0.009545924
1/14/2020,-0.013503494,0.005628236,0.011661633,-0.007043044,-0.001524793,0.024882822,-0.008596129
1/15/2020,-0.004285444,0.003344004,-0.014985624,0.006476106,0.002260213,-0.036102014,-0.00158951
1/16/2020,0.012526433,0.008094858,0.003876375,0.018323278,0.008318202,-0.009662478,-0.003907903
1/17/2020,0.011071287,0.00654539,0.006921713,0.005596788,0.003112461,-0.005822894,-0.00377805
1/21/2020,-0.006776869,0.000670181,-0.009840538,-0.003590607,-0.001958163,0.071890306,-0.014294211
1/22/2020,0.003569315,-0.006833092,-0.001169583,-0.00480476,0.000120661,0.040862644,-0.005770682
1/23/2020,0.004816016,0.001888596,-0.001024334,0.006155672,0.001147152,0.004635122,-0.006251131
1/24/2020,-0.002882131,-0.001413961,-0.024827821,-0.010076788,-0.008893186,-0.012897603,-0.006739378
1/27/2020,-0.029405518,0.002898984,-0.008411382,-0.016723205,-0.016029559,-0.012039273,-0.023824121
1/28/2020,0.028289512,0.005042149,0.018177383,0.019595774,0.01047947,0.015913383,-0.001390029
1/29/2020,0.020932453,0.006956369,-0.001487615,0.015592671,-0.000826115,0.024854514,-0.008352655
1/30/2020,-0.001448885,-0.001195542,0.012367006,0.028207497,0.003245486,0.102962259,0.010606667
1/31/2020,-0.044339122,-0.009909501,-0.025977062,-0.014758303,-0.018158001,0.01523069,-0.041209998
2/3/2020,-0.002745931,0.008732551,0.007630821,0.024378712,0.007428265,0.198948594,-0.022375922
2/4/2020,0.033013683,0.009522582,0.014395801,0.032916605,0.015241457,0.137256402,-0.012514534
2/5/2020,0.008154061,0.015765021,0.017000836,-0.001221332,0.011548155,-0.171758395,0.046023121
2/6/2020,0.011697257,-0.002987311,0.000145319,0.02073374,0.003364888,0.019409317,-0.013550187
2/7/2020,-0.013592662,-0.010681917,-0.003197531,0.00141573,-0.005330038,-0.001188324,-0.006625834
2/10/2020,0.004749289,-0.000197646,0.004155516,0.026157096,0.007465657,0.031026496,-0.010560941
