player_name,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,plus_minus,production_score,salary,is_rotation_player,salary_millions,production_per_million
Isaiah Mobley,PHI,25,1,17.4,6,4,5,1,1,0,0.286,0.333,0.5,-6,22.3,11997,FALSE,0.011997,1858.8
JD Davison,BOS,22,16,5.8,2.1,0.8,0.8,0.3,0.1,0.8,0.353,0.222,0.714,-1.8,4.26,11997,FALSE,0.011997,355.09
Brandon Williams,DAL,25,33,14.8,8.3,1.8,2.3,0.7,0.2,1.2,0.521,0.4,0.833,0.3,14.51,47989,FALSE,0.047989,302.36
Braxton Key,GSW,28,3,3.6,1,0.7,0,0.7,0,0.3,0,0,0.5,-2.7,2.94,11997,FALSE,0.011997,245.06
Drew Timme,BKN,24,9,28.2,12.1,7.2,2.2,0.4,0.1,1.7,0.441,0.257,0.625,-7.3,23.34,113055,FALSE,0.113055,206.45
Nae'Qwan Tomlin,CLE,24,5,12.7,7.2,4.2,0.4,0,0.2,0.4,0.406,0.2,0.727,1.4,12.84,66503,FALSE,0.066503,193.07
Killian Hayes,BKN,23,6,27.1,9,3,5.2,0.7,0.7,1.5,0.419,0.381,0.833,-4,21.7,119972,FALSE,0.119972,180.88
Marcus Bagley,PHI,23,10,25.3,6.7,7,1,0.9,1.2,0.7,0.391,0.156,0.8,-8.4,20.1,126356,FALSE,0.126356,159.07
A.J. Lawson,TOR,24,26,18.7,9.1,3.3,1.2,0.5,0.2,0.6,0.421,0.327,0.683,-0.7,15.66,100000,FALSE,0.1,156.6
Jaylen Sims,CHA,26,6,18.6,7,1,2,0.5,0.2,1.3,0.429,0.4,0.8,-7.8,11.3,73153,FALSE,0.073153,154.47
Marcus Garrett,CHA,26,4,19.8,7,1.5,3.3,0.8,0.5,1.5,0.407,0.375,0.75,-9.8,14.85,107027,FALSE,0.107027,138.75
Oshae Brissett,PHI,27,6,23.7,8.7,3.7,0.7,0.7,0.5,1.3,0.487,0.333,0.571,-5.2,15.29,119972,FALSE,0.119972,127.45
Jared Rhoden,TOR,25,14,16.2,8.4,3,1.1,0.7,0.1,0.6,0.483,0.308,0.88,4.6,14.65,119972,FALSE,0.119972,122.11
Yuri Collins,GSW,24,2,8.2,1,1.5,2,1,0,0,0.333,0,0,-2.5,7.8,66503,FALSE,0.066503,117.29
Kylor Kelley,LAL,27,11,11.5,3.1,3.5,0.5,0.1,0.3,0.4,0.636,0,0.6,-6.8,8.45,73153,FALSE,0.073153,115.51
Malachi Flynn,SAS,27,4,10.9,4,1.8,1.8,0.8,0,1,0.385,0.25,0.833,0.3,9.46,119972,FALSE,0.119972,78.85
Phillip Wheeler,PHI,23,5,8.9,1.6,1.6,0.4,0.2,0.4,0.2,0.143,0,1,2.6,5.12,66503,FALSE,0.066503,76.99
Jordan Goodwin,LAL,26,29,18.7,5.6,3.9,1.4,1,0.4,0.9,0.438,0.382,0.818,-0.4,14.28,223718,FALSE,0.223718,63.83
Chuma Okeke,CLE,26,9,21.9,5.9,5.2,1.7,0.6,0.4,0.3,0.5,0.393,0.667,-3.1,16.39,355687,FALSE,0.355687,46.08
Cole Swider,IND,26,10,17,5.9,2.7,0.3,0.4,0.2,0.4,0.349,0.319,0,5.4,10.39,227947,FALSE,0.227947,45.58
Justin Edwards,PHI,21,44,26.2,10.1,3.4,1.6,1,0.4,1.1,0.455,0.363,0.696,-6.4,18.28,425619,FALSE,0.425619,42.95
Terence Davis,SAC,28,1,7.9,0,1,1,0,0,0,0,0,0,-3,2.7,64301,FALSE,0.064301,41.99
Isaac Jones,SAC,24,40,7.6,3.4,1.4,0.3,0.1,0.3,0.4,0.651,0.375,0.639,-1.6,5.93,152957,FALSE,0.152957,38.77
Quinten Post,GSW,25,42,16.3,8.1,3.5,1.3,0.4,0.4,0.8,0.449,0.408,0.778,1,15.05,438920,FALSE,0.43892,34.29
Jaylen Nowell,WAS,25,8,21,8.4,2.5,2.3,0.1,0.5,1,0.356,0.296,0.636,-5.3,15.05,446743,FALSE,0.446743,33.69
Brandon Boston Jr.,NOP,23,42,23.6,10.7,3.2,2.2,1.3,0.2,1.2,0.436,0.35,0.788,-3.3,19.64,596581,FALSE,0.596581,32.92
Colin Castleton,TOR,25,26,16.6,4.7,4.7,1.1,0.3,0.4,0.9,0.469,0.125,0.763,-1.2,12.49,421081,FALSE,0.421081,29.66
Tyrese Martin,BKN,26,60,21.9,8.7,3.7,2,0.6,0.2,1.2,0.406,0.351,0.793,-4.3,16.54,635853,FALSE,0.635853,26.01
Lonnie Walker IV,PHI,26,20,23.8,12.4,3.2,2.5,0.5,0.3,1.3,0.42,0.354,0.8,-7.1,20.29,780932,FALSE,0.780932,25.98
Moses Brown,DAL,25,13,9.1,5.8,3.4,0.2,0.5,0.3,0.8,0.694,0,0.727,-1.1,10.98,426632,FALSE,0.426632,25.74
Bismack Biyombo,SAS,32,28,18.8,5.1,5.6,1.1,0.6,0.8,1,0.588,0,0.4,-3.6,15.27,647851,FALSE,0.647851,23.57
Elfrid Payton,NOP,31,24,21.3,3.5,3.3,6.9,1,0.5,2.5,0.328,0.167,0.571,-6.2,18.31,789048,FALSE,0.789048,23.21
Jared Butler,PHI,24,60,17.4,9,1.8,3.7,0.7,0.2,1.3,0.448,0.355,0.824,-2.2,17.21,745726,FALSE,0.745726,23.08
Skal Labissiere,SAC,29,4,3,1.3,0.8,0.3,0,0,0,0.5,1,0,-0.3,2.71,119972,FALSE,0.119972,22.59
Jahlil Okafor,IND,29,1,3.4,0,1,1,0,0,0,0,0,0,5,2.7,119972,FALSE,0.119972,22.51
Dominick Barlow,ATL,22,35,10.7,4.2,2.4,0.5,0.3,0.5,0.1,0.531,0.259,0.636,-0.1,9.33,491887,FALSE,0.491887,18.97
